;Tweets;Weekday;Month;DayOfMonth;Hour;Min;Sec;Year;sentiment
35;@arfapurple99 kaannn -.- dah sign in dgn bnyk password I yg I bleh igt.. Pastu still tak bgi. -_______-;Sun;Feb;5;13;48;44;2012;0.0
36;udah ngedroppp lagi dh.
bnyak pikiran -.-;Sun;Feb;5;13;49;29;2012;0.0
37;@jHampok sama bunda ku ojha, nganterin. Mborong bnyk buku, saya yg bawa2 ajah Haha. Trus ktemu kang emka itu. Tgl 7 ksana lg yuk, diundi lho;Sun;Feb;5;13;53;15;2012;0.4588
38;Blom lahiran,anak.na Kyro uda bnyak yg mintaaaa :P;Sun;Feb;5;13;53;16;2012;0.4084
39;RT @CitizensUK: Over 300 people interviewed in Hackney for @LivingWageUK @London2012 jobs today! @hackneygazette;Sun;Feb;5;13;53;49;2012;0.0
40;Feeling so tired seyhh.  Akibat bnyk sgt makan -,-;Sun;Feb;5;13;57;8;2012;-0.4005
41;Pst bnyk gondang ubur-ubur kotak betaburan dskw,hahaaa RT @Erick_Wj: Tembakol,hahaha RT @FerdiotiqueRyan: Tem ke jang?hahaa RT @Erick_Wj:;Sun;Feb;5;13;58;34;2012;0.0
42;Ga baru tp msh gress podo wae RT @Firlirifkaend: Egk baru"yedidakrstywt: @Firlirifkaend bbnya baruuu";Sun;Feb;5;13;58;52;2012;0.0
43;--" RT @FadhilAchyari: baju ktor bnyak nii :D RT @aprilliaindry14 qe lah RT @FadhilAchyari: siapa" :/ RT @jakmi oleh2 RT @FadhilAchyari: ap;Sun;Feb;5;14;1;48;2012;0.3885
44;gilaa yee cowo maen boneka? Bukan nya udah punya bnyk? Wkaka “@rickynbl: Dapet juga nih boneka !!”;Sun;Feb;5;14;2;13;2012;0.0
45;@wawadew @korinmiyan @tye_aisah mslh kerdus wa? Ternyta gue pnye temen kaya gth, tp doi bangga ama aibnya. Inalillahi dunia mau kiamat;Sun;Feb;5;14;2;25;2012;0.0
46;@pinkeubit bgt shin ~ hahaha ~ kalo lg event gt pasti fansite taemin yg pualing bnyk poto nya XD. Shin udh dnger kbr kpn mereka ke Paris ?;Sun;Feb;5;14;6;55;2012;0.8816
47;@MuhdSyaifullah eii ketawakan pulak, dah lah nyamok bnyk ni kt luar ! Wrgggg;Sun;Feb;5;14;7;8;2012;0.0
48;@zulyanaatraii k. Teksi bnyk. Jap erin? Problem? K tak paham;Sun;Feb;5;14;8;25;2012;-0.4696
49;@taniadriano buset makanan nya bnyak amt | angkut sne tante kt mkn bareng" mumpung blm mkn neh gw;Sun;Feb;5;14;8;40;2012;0.0
50;Knp sih gue kalo suka sm org pasti selalu ketauan sm org bnyk ish bete -_-;Sun;Feb;5;14;8;56;2012;0.0
51;Pesen papa: Besok jngan kemana mna ya...bnyk yg mw di bcarain... Duhhh soal apa lgi ni???;Sun;Feb;5;14;9;41;2012;0.0
52;RT @irasaddictBpn Happy anniverasry yah moga + sukses+bnyak followers+ banjir mention- dsyang sma ka @irasXOIX k... http://t.co/ElO2WBUh;Sun;Feb;5;22;8;51;2012;0.5719
53;RT @irasaddictBpn Happy anniverasry yah moga + sukses+bnyak followers+ banjir mention- dsyang sma ka @irasXOIX k... http://t.co/ElO2WBUh;Sun;Feb;5;22;8;51;2012;0.5719
54;Conte Kecewa Juventus Gagal Perlebar Jarak: Pelatih Juventus, Antono Conte mengaku kecewa karena klubnya tak mam... http://t.co/vyx649vN;Sun;Feb;5;22;27;46;2012;0.0
55;@ICHBENJI @unimeenie dosa sapa yg paling bnyak??hayoooo??;Mon;Feb;6;6;53;21;2012;0.0
56;Sekalinya ada tugas lg bnyk bgt!;Mon;Feb;6;6;59;31;2012;0.0
57;Senin kemarin kan gue engga masuk, eh skrg pas masuk prnya bnykk;Mon;Feb;6;6;59;39;2012;0.0
58;@_SBeautifulInc hahahahah I know right random seeing you in citibank at like 2 in the afternoon LOL;Mon;Feb;6;7;3;4;2012;0.7213
59;@StargaLamora sabar ya bro, yang masuk bnyk bgt soalnya. harap sabar lagi diproses satu2 :);Mon;Feb;6;7;9;2;2012;0.4588
60;2 TIX Philadelphia 76ers 2/29 Wells Fargo Center-PA Sect-103 http://t.co/t4d2bmEj #76ersTickets;Mon;Feb;6;7;11;37;2012;0.25
61;Waaa~ harapan besar=kekecewaan besar, waah, benar kata ibu kmrin, jgn terlalu bnyk brharap kalau kamu tdk segera berbenah diri, feb, \(´<U+25BD>`)/;Mon;Feb;6;7;13;31;2012;0.0
62;Insyallah yaa, bawaan mma aku bnyak nih RT @Yyuliantari;Mon;Feb;6;7;14;57;2012;0.0
63;Bknnya ke bgor,ktmu anak2 bnyk bgt. Jeslon jg main barong hehe RT @geztafoya: @winniarfiani sedih ga ikut capgomeh <U+2639>;Mon;Feb;6;15;16;0;2012;0.0
64;@cmolaje wah parah nh niat bangkrutin gw., bnyk tuh ssa pilh mw yg kw super, tau svn star. Tmen gw jual yg kw super. Svn star cri d tnabang;Mon;Feb;6;15;16;41;2012;0.9001
65;Riverbed Technology to Present at Upcoming Events with the Financial Community: ... California Goldman Sachs Tec... http://t.co/xmNuSmGy;Mon;Feb;6;15;19;48;2012;0.0
66;@mbulmbulwinda iyaaj lbh slh lagi kerja'n bnyak tapi money ga masuk ktng,,peraturan mulau berlaku libur kul libur jajan;Mon;Feb;6;15;22;51;2012;0.0
67;Galon wadae bnyuRT @YudhasanSan: GALAU ! ( Boso Lebay ) <U+0429>(º<U+0414>º<U+0449>) !;Mon;Feb;6;15;25;50;2012;0.0
68;I'm at Wells Fargo (266 Navajo Blvd, Holbrook) http://t.co/j2JRpVZ3;Mon;Feb;6;15;27;9;2012;0.25
69;Berkeley considers new banks to replace Wells Fargo: Berkeley's considering saying adios to... http://t.co/MupOBGJB #News #US #ND #Fargo;Mon;Feb;6;15;28;18;2012;0.25
70;I'm at Bank of America Tower (1 Bryant Park, btwn 42nd St. & 6th Ave., New York) w/ 4 others http://t.co/jY9Vfnmt;Mon;Feb;6;15;28;42;2012;0.0
71;yoi percuma hp bnyak, smbongnya,ahahaRT @vanieunyu: Bagus dong RT @viekato_sinaga: Gile @natha_chubbyes facebook twitter ON;Mon;Feb;6;15;29;1;2012;0.0
72;@brendatambuwun M bangke jawabnya ihh, A adek gue tercinta tersayang terunyuuu  (<U+2665>O<U+2665>);Mon;Feb;6;15;30;5;2012;0.0
73;Iya:"Davidnya bnykyax.xbtw david villa tuh sopo seh? RT @kresnayudanto2: sabar yaa masih banyak david ._. ada david villa david ini itu XD;Mon;Feb;6;15;30;52;2012;0.6739
74;Sudahkah Kalian Untuk Mengunci Gembok Gerbang / Pagar Kalian ? Hati-Hati Tuips Lg bnyk Curanmor #SSTips;Mon;Feb;6;15;33;51;2012;0.0
75;@amirmuhama95 bnyk lah kau.;Mon;Feb;6;15;33;53;2012;0.0
76;bny yg blg mrip :D amin deh pi RT @heppyeltsin: @ramitarizka aah pura pura ga tau gt deh padahal mau kan ?km sm deo itu mirip kata org jodoh;Mon;Feb;6;15;35;23;2012;0.7297
77;Ga pa2,asal ga bnyk2 kakRT @Tika__Putri: Ngidam durian, tapi katanya ga boleh untuk orang hamil...;Mon;Feb;6;15;35;27;2012;0.0
78;http://t.co/UCCY3gDs - citibank ru <U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043D><U+043D><U+0430><U+044F> <U+0432><U+044B><U+043F><U+0438><U+0441><U+043A><U+0430> <U+043F><U+043E> <U+043A><U+0440><U+0435><U+0434><U+0438><U+0442><U+043D><U+043E><U+0439> <U+043A><U+0430><U+0440><U+0442><U+0435>;Mon;Feb;6;15;37;30;2012;0.0
79;¬_¬" buruan :p RT @kemmasss: Iya gua tau ¬_¬ harus bnyk sabar ya pasti jadi kok RT (cont) http://t.co/3x3lD9RD;Mon;Feb;6;15;40;13;2012;0.25
80;@Pemain_ke12 ga usahlah gabung, msh bnyk bakat muda yg lbh baik di Juventus.;Mon;Feb;6;23;37;28;2012;0.0
81;Finance Jobs Pay ~ Planning & Investment Specialist, CFP at JPMorgan Chase (San Diego, CA)  http://t.co/eoom8XFZ;Mon;Feb;6;23;40;44;2012;-0.1027
82;RT @Citizen_Kelbel: People just pop up sometimes, tell me things bout their lives then fuck off again. Why do I allow this?;Mon;Feb;6;23;48;29;2012;-0.3818
83;@amandakaratika mungkin input data nda,, kbnyakan klo BO itu input2 data...;Mon;Feb;6;23;53;2;2012;0.0
84;Barca Bantah Dekati Van Persie: Barcelona membantah kabar yang menyatakan bahwa klubnya tengah melakukan pendeka... http://t.co/fDRD9KAN;Mon;Feb;6;23;56;11;2012;0.0
85;@danifpradana thx buat gue yang tahun ini baru mendapat kan bnyk producing job dan minder setngh mati.. haha;Tue;Feb;7;8;47;45;2012;0.6705
86;Mau aku ambilin bbnya? :p RT @ShintaAchmad: Bb ketinggalan dirumah ituuuu rasanyaaaa gemanaaaa bangeeetttt gitu! Terpaksa pinjem bb @phhitty;Tue;Feb;7;8;48;54;2012;0.3164
87;@MuhdHaikel Hahahax. Basterd sial. Ta apeh, buat besabar jeh. Nnt dorg kene balik.. Ko doa bnyk2 jady ko ta kene stomp;Tue;Feb;7;8;52;13;2012;-0.5106
88;@citazyta gimana cita sama cowok waktu itu tea? Mau dibawa kemana hubnya?? *nyanyi;Tue;Feb;7;8;52;43;2012;0.0
89;harus bnyakin istirahat minggu ini biar kaki sembuh [Like it? http://t.co/4AVLahjG ];Tue;Feb;7;8;52;58;2012;0.0
90;RT @PEPATAHKU: Kebenaran n kebohongan itu seperti minyak n air, seberapa bnyak pun air kamu tuang, minyak selalu muncul ke permukaan #PPKU;Tue;Feb;7;8;56;10;2012;0.0
91;.@RonPaul2012FTW Goldman Sachs is actually the only big bank that wouldn't have failed. Fuck them anyway, but still, facts are facts.;Tue;Feb;7;8;56;22;2012;0.4168
92;ahaha bisaaaa :D . smcam bus kota, brlalu 1, msh bnyk di belakangny :p RT @JoshuaArya Wkwkw.. Cinta tu kya permen ya? Nek entek cari di toko;Tue;Feb;7;8;56;37;2012;0.7213
93;beklah.. (<U+2323>´_<U+2323>`) RT @nengmircee: @DyaVi iyaahhh gt.... Cuss mnum air putih yg bnyak, dr pada kek gw nnti tepar??? :p huehehehe;Tue;Feb;7;8;57;48;2012;0.3695
94;Tfb pakai bbnykp hihii;Tue;Feb;7;8;59;54;2012;0.0
95;Bank of America Core Values? http://t.co/OmupOEro;Tue;Feb;7;9;1;1;2012;0.4019
96;@renydev msh dimantain yoga sepertinya, bbnya jg msh aktif;Tue;Feb;7;9;3;41;2012;0.0
97;Ya lumyn dpt bnyak :pRT @ayubundan: Kaka bahhh :P"@iiootregaL: Hbs ngepet kn tdi mlm :pRT @ayubundan: Kaka tedong :P@iiootregaL: Wkwkwk kebo;Tue;Feb;7;9;3;49;2012;-0.34
98;Pernah hehehe.. RT @iannah212: emg pernah jawabnya atos? "LIdh_cut3: Kalau jawabannya atos, gamau maklum (cont) http://t.co/XkVOh0VI;Tue;Feb;7;9;4;24;2012;0.0
99;RT @jonhartmannjazz: to Celebrate Valentine's Day, the Bank of America is offering free Chuck Steaks cut into the shape of Mortgages at  ...;Tue;Feb;7;17;2;11;2012;0.7096
100;K bnyuwangi aja aahhh...*loh pulkam @Fahry_Arab: Kmnpun ku kejar!! RT @abay_cmaya: *kabooorrr*@Fahry_Arab:(<U+2323>´_<U+2323>`) @abay_cmaya:;Tue;Feb;7;17;3;41;2012;0.0
101;ntar klo dikasi sajen jgn2 km yg muncul:D RT @ristriputri Akun Bie bnyk pnunggux,kmrn lp dksh sajen sih:p RT BayuPriaganda: @BiePaksi wes ga;Tue;Feb;7;17;8;31;2012;0.0
102;RT@gaulalague:Utk dpt ertukar pikiran,ide dan pengetahuan utk memberikan kita bnyk pgarh2 positif srt motivasi utk membuat kita lbh baik•"<U+032E>•;Tue;Feb;7;17;9;57;2012;0.0
103;RT @LABILGokil : Wanita banyak berharap dan bnyk dikecewakan;Tue;Feb;7;17;10;39;2012;0.0
104;Ahaha...klo bsa sih gtu uda RT @deoabdessalam: @zoralibriani minta yg bnyak jor;Tue;Feb;7;17;13;36;2012;0.0
105;duh pusing bnyk tgs dan ul.. masa bsok gak les lg? tp klo les bisa gak tidur :(((((;Tue;Feb;7;17;16;34;2012;0.0
106;Eh tp di TL nya dy bnyk dpt pujian krn nyanyi itu @anggeralfi;Tue;Feb;7;17;20;27;2012;0.0
107;Astagfirullah :/ RT @d_diw: Santai! Uang tggl transfer, mau sm om2 nya ga RT @viaaww: Cihuyyy have fun yaaa :)) pulang bawa uang yg bnyk yaa;Tue;Feb;7;17;23;54;2012;0.2942
108;RT @citizenbridge: Open-source Weave liberates data for journalists, citizens: http://t.co/dJGdAl7m  #Opendata #gov20 #Opensource;Tue;Feb;7;17;24;17;2012;0.0
109;Budgies&Travel Awards celebrates excellence in Asia's Low Cost Aviation&Travel Ind http://t.co/m45a35ie - smg @Citilink dr Indonesia menang.;Wed;Feb;8;1;27;57;2012;0.8658
110;Ane kan bule, jd gosok gigi cuci muka cukup RT @adi_cipeuw: Ngenes, mn blm mandi ya.. RT ndhan_ajah: Kuterdiam dan sendiri @cititrans;Wed;Feb;8;1;31;0;2012;0.0
111;Rasa lemau dah badan ni disbbkan cuti yg terlalu bnyk;Wed;Feb;8;1;33;1;2012;0.0
112;RT @wjaya49: 08.35 Hati2 melintas di jln.H mencong Cileduk Tangerang, krn bnyk lubang dan jalan tdk rata rawan kecelakaan.;Wed;Feb;8;1;35;50;2012;0.0
113;Biasa,bocah2 kn mau hr ksh sygg gt dh :D RT@dirakadir: Lagi musim jadian yaaa ? Kok dari tanggaal 1 bnyak yg jadian trs ni -__-";Wed;Feb;8;1;36;22;2012;0.7297
114;@isepunye haha . alrite . work hard , bnyk duit , pergi Bali nnt ajak aku okayy . AHHA .;Wed;Feb;8;1;43;50;2012;0.3818
115;Ouw @febriani_ria ultah toh..HBD ya say..smoga hari ini bnyk rezeki..biar gw kena traktiran..hahaha;Wed;Feb;8;1;48;54;2012;0.0
116;@tikamitsu88 kkkkk ntr klo onlen lepie ja aq cariin.tenkyuu....bnykaahh??;Wed;Feb;8;10;19;45;2012;0.0
117;Haha awas cher bapaknya ada dimana-mana :D RT @CherlinMaretha: Iyak, uda ngumpulin bnyk2 msh dpt c (cont) http://t.co/8MNOqpj9;Wed;Feb;8;10;19;48;2012;0.7925
118;Di kereta,cuma gw doang yang ga pake selimut...entah gw dah kebal dingin n cocok jd bule atau cadangan lemak bwt dibakar bnyk...;Wed;Feb;8;10;20;43;2012;0.0
119;Kenal lahh . Busettt lagi2 bnyk bgt yg nnyain padang x_x RT @Inaasanjaya: Ahahaha:D lo kenal padang?RT @rifkyichsanulah: Haha mana selon RT;Wed;Feb;8;10;23;1;2012;0.4588
120;Euuuuuwww, you ni banyak perasan lah. msti bnyk makan santan ni :p hahaha.. iya iya la biar kan aja. waaa enggak kisah sey -,-;Wed;Feb;8;10;25;47;2012;0.25
121;Nak jugak RT @NurulIdaF: Gula gula kapas tinggal suku jeh, ala kalau tahu, aku amek bnyk-2 semalam. Hahhahahhah sedap lama tak makan yummy ~;Wed;Feb;8;10;26;17;2012;0.5267
122;terimakasih sekali khususnya @reichstrat buat hari ini. Atas jasanya menuntun kami. Maaf bnyk merepotkan :);Wed;Feb;8;10;28;30;2012;0.4588
123;Dianggap hutan RT @yos_kebe: @budimandjatmiko setengah kota palangkaraya tanah2nya blm bs sertifikat. bnyk masalah ... http://t.co/kDAoKGXl;Wed;Feb;8;10;29;56;2012;0.0
124;kabel spidi kecot kena benang layangan.fakin akamsi.semoga bisa kembali lancar online,ada bnyk hal yg harus diuber ber ber.;Wed;Feb;8;10;30;14;2012;0.0
125;Percuma lah minta maaf bnyak" gk diladenin gk penting ampas;Wed;Feb;8;10;32;53;2012;0.0
126;Eji kan kece.bnykgya.RT @RagasRose NGAKAK ASLI RT aypidydy: RT @zahrayara Happy tree friend, bodoooh!RT ... http://t.co/rLiQoVq9;Wed;Feb;8;10;34;22;2012;0.8016
127;Sini bu dokter periksainn hahhaRT @MuteMJ: @giigita @bzahHamzah jiaaah lo skt bang? Ckck stress siiih, kbnykan ... http://t.co/ueP70IHn;Wed;Feb;8;10;36;47;2012;-0.4215
128;Kita ngambil brpa sks bro? RT @riezwanhanafii: wajibnya 18sks RT @mbongg: Dpt jatah brp sks bro? RT @riezwanhanafii: KRS RT @mbongg:;Wed;Feb;8;10;38;35;2012;0.0
129;@Lilymuzdalifah ihhh tangan lu kegatelan, kasihaan bbnya lili, ahahha :p, okey siiiip (n);Wed;Feb;8;10;38;46;2012;0.0
130;Tuhan bagi pin bbnya dong ! Aku mau curhat :(;Wed;Feb;8;10;39;39;2012;-0.4926
131;RT @yattcaptain: @IzatyNordin ouh . kite tgk kt tonton -.- baru episod 8 ea ?? ingat dh bnyk episod. haahaaa~;Wed;Feb;8;10;39;44;2012;0.0
132;I checked in at Bank of America (19645 Biscayne Blvd) on #Yelp http://t.co/EwVvm4FU;Wed;Jan;4;18;38;44;2012;0.0
133;RT @TempleUniv: Full house! Just got word from Temple Athletics Ticket Sales: Tonight's #TUMBB-Duke game at Wells Fargo Ctr is SOLD OUT.;Wed;Jan;4;18;45;32;2012;0.3164
134;RT @TerimakasihIBU: Wanita di ciptakan dengan penuh kasih sayang, maka sebabnya mereka mampu merangkul kesedihan dengan kelembutan hatinya;Wed;Jan;4;18;45;40;2012;0.0
135;Morgan Stanley Appoints McFadden as Head of Corporate Affairs (BusinessWeek) http://t.co/Qv0A85f6;Wed;Feb;8;19;6;29;2012;0.0
136;wkakkw kbnyakan mkan nasi uduk bgtu tuh RT @ariaputra92: Noh @HendyRusli liat kelakuan tmn u. RT (cont) http://t.co/SEJ7E98y;Wed;Feb;8;19;6;33;2012;0.0
137;@winndhie @annisamaulia1 Bsk mw ikutan nobar BILA di Giant atw BS nih,yg pasti ya jwbnya. ;);Wed;Feb;8;19;9;48;2012;0.2263
138;@Citizenside We #Occupy_Food do now!;Wed;Feb;8;19;10;58;2012;0.0
139;RT @Jadi_SokTau: yg membuat musisi Indonesia susah untuk go Internasional adlh faktor bahasa. Krn musik di negara bnyk yg berkualitas #JST;Wed;Feb;8;19;15;24;2012;0.0
140;Bangsat RT @Purwokertoku: hati" djaln,bnyak jaln brlubang di #PWT  :)  RT @dipta37 Purwokerto (cont) http://t.co/XiE0laIl;Wed;Feb;8;19;21;22;2012;0.4588
141;#Gupta trial postponed until #May http://t.co/pBE5f77L #NewYork #Reuters #Raj #court #Proctor #GoldmanSachs;Wed;Feb;8;19;24;18;2012;-0.2023
142;@CloudsCollide @CitizenR4PTURE @scottweber10 @kaitlynohhh In that case, my new name is ham and swiss.;Thu;Feb;9;3;22;42;2012;0.0
143;@dangdyud oh, pantes waktu itu diselametin ulang taun malah jawabnya songong banget nanya itu nomernya sapa -_- (re: nomer hape ilang);Thu;Feb;9;3;23;29;2012;0.0
144;@Dina_Bongai ak kasian made beli. koar2 di dlm bus tpi kito malah tedok. kato made "nanti kalian kalo ditanya, gmn Bali? jwbnya, Bali gelap";Thu;Feb;9;3;25;8;2012;0.0
145;Harusnya memperbnyak amalan mbak :) hahaha "@wanodya91: Lge pengen perbanyak kemeja -__-"";Thu;Feb;9;3;27;35;2012;0.765
146;Jgn k bnykn main ma afsy, pst boros RT @afsy28: Tmbn bnr lw RT @swinkadhie: Rejeki datang ga 2x RT @afsy28: Cie :p RT @miefthachul:;Thu;Feb;9;3;29;10;2012;0.25
147;Kok bnyk dpnya zodiac2 gitu ya?;Thu;Feb;9;3;31;56;2012;0.0
