"","Tweets","Language","Follower","favourites_count","friends_count","statuses_count","time_zone","id_str","location","coordinates","retweet_count","id_str_tweet","in_reply_to_status_id_str","Weekday","Month","DayOfMonth","Hour","Min","Sec","Timezone","Year"
"27","@alicecbsantos babaca nao ne porra, kkkk a net tava brincando ctg era haha toma","en","51","0","36","883",NA,"249831339","",NA,"0","154764985778700288",NA,"Thu","Jan","05","03","23","42","+0000","2012"
"28","rak sudii!! rak nduwe duit aku bec RT @rebecbeca: Kaka beliin dulu donggg :p RT @ivanajoseph: m(cont) http://t.co/Js5H8FmK","en","525","62","814","18510","Pacific Time (US & Canada)","134376258","Jakarta , Indonesia",NA,"0","168685511643377664",NA,"Sun","Feb","12","13","18","54","+0000","2012"
"29","“@BballProblemz: I will have bruised knees forever... #BasketballProblems” hahahah forreal tho #recballprobz @annahaggertyy","en","351","179","314","3355","Quito","338609893","",NA,"0","168815073702322176",NA,"Sun","Feb","12","21","53","44","+0000","2012"
"30","RT @candacecbure: Katy Perry's crimped hair reminded me of DJ & Kimmy's first day of Junior High. Not a good look. <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>","en","103","2","175","2770","Pacific Time (US & Canada)","23695077","California. ",NA,"1","168941016076922880",NA,"Mon","Feb","13","06","14","11","+0000","2012"
"31","@beccabecbec_ I don't my second reply ;D","en","42","0","75","1416",NA,"411705291","utopia.",NA,"0","169067298190131200","169060290892271617","Mon","Feb","13","14","35","59","+0000","2012"
"32","faecbook kape in da city hoe outta town mission#TripleTreat","en","231","0","473","368","Central Time (US & Canada)","438473299","lakeland ",NA,"0","169210818888609792",NA,"Tue","Feb","14","00","06","17","+0000","2012"
"33","NÃO, absolutamente NÃO ! RT @totalsertanejaa @carlosmagno_ecb Curti #Sertanejo? [...]","en","2369","26","2144","41895","Brasilia","134961108","Salvador - BA",NA,"0","169210940519219201",NA,"Tue","Feb","14","00","06","46","+0000","2012"
"34","@alecbaldwin I'll play guitar and you sing... just don't be Adam Sandler.","en","66","0","134","174","Indiana (East)","34114204","",NA,"0","169470765064912896","169459508245053440","Tue","Feb","14","17","19","13","+0000","2012"
"35","@precblkpearl happy vday beautiful. Stay blessed","en","95","3","119","795",NA,"435523534","",NA,"0","169471494852841472","169469736751595520","Tue","Feb","14","17","22","07","+0000","2012"
"36","@littlecbeadles I called you..","en","872","106","1553","9591","Santiago","286945136","Canada",NA,"0","169865587479166976",NA,"Wed","Feb","15","19","28","06","+0000","2012"
"37","shoutout to lottie please?! :-) (@TaylorJonesTJ live on http://t.co/7Xecbf4g)","en","2094","105","1400","42756",NA,"60067531","",NA,"0","169867823059963906",NA,"Wed","Feb","15","19","36","59","+0000","2012"
"38","http://t.co/G2gqOecb <U+0433><U+0434><U+0435> <U+0432><U+0437><U+044F><U+0442><U+044C> <U+0434><U+0435><U+0448><U+0435><U+0432><U+044B><U+0439> <U+043A><U+0440><U+0435><U+0434><U+0438><U+0442> <U+043D><U+0430> <U+043E><U+0431><U+0440><U+0430><U+0437><U+043E><U+0432><U+0430><U+043D><U+0438><U+0435>?","en","1","0","0","531",NA,"466208183","",NA,"0","169869056172769280",NA,"Wed","Feb","15","19","41","53","+0000","2012"
"39","Ayudante documentalista técnico/a http://t.co/t1kzKL3k #empleo #trabajo #recbib #documentalista #Almeria","en","3197","0","471","15803","Madrid","65313232","",NA,"0","154891901227646976",NA,"Thu","Jan","05","11","48","01","+0000","2012"
"40","@HSBC_UK_Online tried it, don't know my telephone security key so I can't get further than that","en","9","0","14","3","London","413102874","Durham",NA,"0","154896103924432896",NA,"Thu","Jan","05","12","04","43","+0000","2012"
"41","@alecbaldwin Republicans, Republicans, always making fools of themselves. Not standing up for the common man only the corp grandstand.","en","1","0","13","10","Quito","381114492","",NA,"0","169991764730593280","169987426817802241","Thu","Feb","16","03","49","29","+0000","2012"
"42","#TEAMETHERRADIO @NookieReloaded stealing shit from Walmart?  http://t.co/Z2ecbpFw","en","655","78","715","24302","Central Time (US & Canada)","261469386","Google Image Gallery",NA,"0","169993215955570688",NA,"Thu","Feb","16","03","55","15","+0000","2012"
"43","@alecbaldwin, mannequins are like faceless sex aliens","en","17","2","128","261","Eastern Time (US & Canada)","384340994","",NA,"0","169994218373251072",NA,"Thu","Feb","16","03","59","14","+0000","2012"
"44","R U doing yoga or dance? Luv Words WF @alecbaldwin.","en","229","17","318","1143","Arizona","14974368","Peoria, AZ",NA,"0","169994633621929988","169987426817802241","Thu","Feb","16","04","00","53","+0000","2012"
"45","@_toppcat @becbecbec_ @jbillau @olivers_day i am aswell teece","en","469","59","320","7331",NA,"253784529","",NA,"0","170130285797720065","170130073993744384","Thu","Feb","16","12","59","55","+0000","2012"
"46","#amazingpicture #skills ;) http://t.co/qUlecbFr","en","101","27","205","1902","Quito","343400548","",NA,"0","170131296616591360",NA,"Thu","Feb","16","13","03","57","+0000","2012"
"47","@alecbaldwin so then wouldn't it be AB and Is'?","en","36","6","276","165","Eastern Time (US & Canada)","18630771","Charlotte, NC  ","-80.82050527;35.12088285","0","170134459159556096","170132925260636162","Thu","Feb","16","13","16","30","+0000","2012"
"48","Yarin mecbur kalmadikca disari cikmayin diyen Bunyamin Bey sozum sana; erken kalkmak mecburen, ise gitmek mecburen, mecburiyettenn","en","79","0","99","1084","Greenland","97075313","istanbul,turkey",NA,"0","170135214104920065",NA,"Thu","Feb","16","13","19","30","+0000","2012"
"49","Peanut butter brownies @sita_mini @_zarigueyita @MariaEva_ @ecbustos para el tecito #CSP http://t.co/kGkFQRim via @pinterest","en","2326","745","1706","14850","Santiago","7752412","iPhone: Viña del Mar, Chile",NA,"0","170255993291288576",NA,"Thu","Feb","16","21","19","26","+0000","2012"
"50","@hilariathomas @OMGFactsAnimals @alecbaldwin #iwantagirldog Lola is in the middle http://t.co/Gvrs6TLs","en","18","15","94","323","Eastern Time (US & Canada)","377555568","No where",NA,"0","170258476323442688","170248467921387520","Thu","Feb","16","21","29","18","+0000","2012"
"51","Amanhã tem @tiberioazul no @recbeatfestival Se eu fosse você não perderia. E com aquela banda ""fraquinha"", vai ser fodástico. Vai lá!","en","11","0","9","22",NA,"421482777","Recife. Brazil",NA,"0","170644369085444096",NA,"Fri","Feb","17","23","02","42","+0000","2012"
"52","@cailinfitz_ Christian is @littlecbeadles Christian is beautiful. http://t.co/0US443dL","en","159","20","580","1334","London","232220242","MyWorld, Your World :D",NA,"0","170645115671560192","170644846304968704","Fri","Feb","17","23","05","41","+0000","2012"
"53","@princecbk Funny enough its my first time seeing your handle on my TL!","en","561","493","479","13989","Greenland","352998421","TO BE on YOUR TV, Radio, Mags!",NA,"0","170894127276363776","170893088292741121","Sat","Feb","18","15","35","09","+0000","2012"
"54","http://t.co/8becbNxi","en","143","8","139","9659","Pacific Time (US & Canada)","73257273","Wherever you go.",NA,"0","171025866187485186",NA,"Sun","Feb","19","00","18","38","+0000","2012"
